=== Voting System Log ===
Station              | Presenting           | Validated            | Rejected             | Voted                | Exit Poll            | Approached           | Truth                | Lied                 | Votes A       | Votes B       | Exit A        | Exit B        
------------------------------------------------------------------
746                  |                      |                      |                      |                      |                      |                      |                      |                      |  0            | 0            | 0            | 0           
8,746                |                      |                      |                      |                      |                      |                      |                      |                      |  0            | 0            | 0            | 0           
8                    | 746                  |                      |                      |                      |                      |                      |                      |                      |  0            | 0            | 0            | 0           
8,203                | 746                  |                      |                      |                      |                      |                      |                      |                      |  0            | 0            | 0            | 0           
8,203,460            | 746                  |                      |                      |                      |                      |                      |                      |                      |  0            | 0            | 0            | 0           
8,203,460,845        | 746                  |                      |                      |                      |                      |                      |                      |                      |  0            | 0            | 0            | 0           
8,203,460,845        |                      | 746                  |                      |                      |                      |                      |                      |                      |  0            | 0            | 0            | 0           
8,203,460,845        |                      |                      |                      | 746                  |                      |                      |                      |                      |  1            | 0            | 0            | 0           
514,8,203,460,845    |                      |                      |                      | 746                  |                      |                      |                      |                      |  1            | 0            | 0            | 0           
514,203,460,845      | 8                    |                      |                      | 746                  |                      |                      |                      |                      |  1            | 0            | 0            | 0           
514,203,460,845      | 8                    |                      |                      |                      | 746                  |                      |                      |                      |  1            | 0            | 0            | 0           
514,203,460,845      | 8                    |                      |                      |                      |                      |                      |                      |                      |  1            | 0            | 0            | 0           
514,203,460,845      |                      | 8                    |                      |                      |                      |                      |                      |                      |  1            | 0            | 0            | 0           
514,203,460,845      |                      |                      |                      | 8                    |                      |                      |                      |                      |  2            | 0            | 0            | 0           
514,203,460,845      |                      |                      |                      |                      | 8                    |                      |                      |                      |  2            | 0            | 0            | 0           
514,563,203,460,845  |                      |                      |                      |                      | 8                    |                      |                      |                      |  2            | 0            | 0            | 0           
514,563,460,845      | 203                  |                      |                      |                      | 8                    |                      |                      |                      |  2            | 0            | 0            | 0           
514,563,460,845      | 203                  |                      |                      |                      |                      |                      |                      |                      |  2            | 0            | 0            | 0           
514,563,460,845      |                      | 203                  |                      |                      |                      |                      |                      |                      |  2            | 0            | 0            | 0           
514,563,460,845      |                      |                      |                      | 203                  |                      |                      |                      |                      |  2            | 1            | 0            | 0           
514,563,460,845      |                      |                      |                      |                      | 203                  |                      |                      |                      |  2            | 1            | 0            | 0           
514,563,550,460,845  |                      |                      |                      |                      | 203                  |                      |                      |                      |  2            | 1            | 0            | 0           
514,563,550,845      | 460                  |                      |                      |                      | 203                  |                      |                      |                      |  2            | 1            | 0            | 0           
